question,answer
what is the prevalence of good health among immigrants from africa based on the chms?,97.0
what is the prevalence of good mental health among immigrants based on the chms?,95.6
what is the prevalence of good mental health among immigrants based on the cchs?,95.0
what is the prevalence of immigrants aged 30 to 79 having been diagnosed with high blood pressure according to the chms and cchs survey?,21.9
what is the prevalence of high blood pressure for immigrant women according to the chms?,16.6
what is the prevalence of high blood pressure for immigrant women according to the cchs?,21.1
"michalis sifakis played for ofi until 2007, how many matches did he participate in?",112.0
"after the 2011-12 football league one season with sheffield wednesday, how many times have jon otsemobor played for the club in the league since he joined in 2010?",26.0
"in 2013-2014, which league did amrinder play for pune?",i-league
what is the prevalence of immigrants aged 12 to 79 to be current smokers based on the chms?,12.0
what is the prevalence of immigrants aged 12 to 79 to be current smokers based on the cchs?,14.4
what is the prevalence of immigrant males to be current smokers based on the chms?,15.0
what is the prevalence of immigrant males to be current smokers based on the cchs?,20.6
"which one finds the prevalence of immigrant males to be current smokers is lower, the chms or the cchs?",chms
what is the chms estimates of the prevalence of obesity?,12.2
what is the cchs estimates of the prevalence of obesity?,13.0
"in swaziland at the 2008 summer olympics, what was the result did temalangeni dlamini achieve a time in her heat, for seventh place?",59.91
"in 2012, which club did jonjo shelvey appear in the league cup and the fa cup?",liverpool
how many touchdown passes did johnson finish with in 1997?,20.0
"johnson finished 1997 with 3,036 passing yards in 1997.",3036.0
how many rushing yards did mccoy finish the 2018 season with?,514.0
how many touchdowns did mccoy finish the 2018 season with?,3.0
how many appearances did scales score in his career?,234.0
how many goals did scales score in his career?,7.0
which kind of people has the highest probability of employment according to model 3 for literacy?,"<higher skill level>, <non-aboriginal>"
what is probabilty of employment of the higher-skilled non-aboriginal population according to model 3 for literacy?,0.912
what is probabilty of employment of the higher-skilled metis population according to model 3 for literacy?,0.869
what is probabilty of employment of the higher-skilled first nations people living off reserve according to model 3 for literacy?,0.752
what is probabilty of employment of the lower-skilled non-aboriginal adults more than the higher-skilled off-reserve first nations population according to model 3 for literacy?,0.115
which league did viola play for olimpo during the 2008-09?,primera b nacional
how many kilograms did el sayed nosseir lift in snatch?,112.5
how many kilograms did el sayed nosseir lift in total of the three lifts?,355.0
"which album was nsync single ""bye bye bye"" released from in 2000?",no strings attached
"of the total seh doctoral population in february 2013, how many percent was in the labor force?",87.8
"of the total seh doctoral population in february 2013, how many percent of working full time?",76.0
"of the total seh doctoral population in february 2013, how many percent of working part time?",10.1
how many percent of the seh doctoral population was retired in 2013?,10.4
